"","P","R","Name","Kolmogorov.mean","Entropy.mean","Complex.Index.mean","Norm.Edge.Complex.mean","Shannon.ent.mean","Shannon.2nd.mean","Kolmogorov.sd","Entropy.sd","Complex.Index.sd","Norm.Edge.Complex.sd","Shannon.ent.sd","Shannon.2nd.sd"
"1",0.05,"0.6","IN",19335.2697698218,7.89988858717634,0.164337074829626,0.0167864583333333,0.211937418279119,0.423849017397346,1918.93703961921,0.0118740710357108,0.0212962935205823,0.000890729103584829,0.00866260101602567,0.0173302554520856
"2",0.05,"0.6","TN",31765.3851931996,7.88771578310491,0.310427482272767,0.0216866319444444,0.257301262686102,0.514120960106013,5363.96737233555,0.0144566949836779,0.035830428404128,0.00193146411310119,0.0173251677602902,0.0344851611096066
"3",0.05,"0.6","WA",103418.319491287,7.89855726227519,0.543853124006971,0.0489973958333333,0.46260254209991,0.923739425337282,6996.77189130556,0,0.00358383994472392,0.000371154193698412,0.00237665833226783,0.00474322365587744
"4",0.05,"0.8","IN",2287.5428683545,3.11425671731657,0.0168040405068654,0.00208487426035503,0.0389571247627978,0.0778956172261578,543.556549620536,0.250715267542356,0.00600885722722719,0.000131523904461454,0.00207114193252741,0.00413890507256179
"5",0.05,"0.8","TN",4331.26199109451,5.06382322173613,0.0781217461993214,0.00441360022189349,0.0728423819421774,0.145611295371698,698.769166940597,0.254802067901622,0.0160184497141414,0.000477034685714575,0.00650209853294257,0.0129682439276784
"6",0.05,"0.8","WA",14941.3381262737,7.41149647136783,0.219082723710062,0.013768115942029,0.181880115833969,0.363528493854082,1526.60263052599,0.0323470609456363,0.00374870723857397,0.000117904665480993,0.00121613007628579,0.00243896810264586
"7",0.01,"0.6","IN",7795.46170732534,7.53038406104135,0.0928725319195348,0.0084602200255102,0.123726865617248,0.247412832343564,1039.5723468272,0.0883973672108266,0.0139481982153184,0.000575101007102083,0.00675237804131669,0.0134977180376314
"8",0.01,"0.6","TN",16359.461918801,7.55721569468249,0.212512570822086,0.0133549904336735,0.177513414385095,0.354717303454177,2725.50041813015,0.0921602226243599,0.0295653809480833,0.000981056178077571,0.0101449176362758,0.0202805516707914
"9",0.01,"0.6","WA",22873.0115994218,7.72853845999437,0.279362800520852,0.0175711495535714,0.219554034924075,0.438582874051444,2333.06349530987,0.00937555941760927,0.00471207017654592,0.000226892265471486,0.00217211864892317,0.0043537670429095
"10",0.01,"0.8","IN",1886.7557784585,3.00749064679066,0.0130838085992443,0.00199241863905325,0.0374726103279707,0.0749334103891556,531.50876263934,0.368755674721294,0.00814285140101161,0.000204631761798823,0.00326184252708953,0.0065256786545113
"11",0.01,"0.8","TN",4421.61049165076,5.03872901178903,0.0807475721968511,0.00441591161242604,0.072884762814225,0.14571290613132,916.449817973853,0.227075888808921,0.0183603259192696,0.000439738471973529,0.00598932293073191,0.011967629926374
"12",0.01,"0.8","WA",14430.4797064648,7.42171477149435,0.21994635580338,0.0137786179374081,0.181988648408916,0.363621507652004,2312.8824318187,0.0203769975622365,0.000430530108939026,9.34738196886608e-05,0.000961979897131379,0.00199301838302197
"13",0.005,"0.6","IN",4425.33262303147,6.17005003422251,0.0580245071484957,0.0050557477893118,0.0814826066796966,0.162928724288649,812.848938549799,0.212537454445953,0.0145831766245499,0.000428601644244223,0.00560856023712481,0.0111918994207867
"14",0.005,"0.6","TN",8975.83500200368,6.62412459107061,0.175154735190285,0.00936538831218762,0.134026596591122,0.267831504476222,2909.66374940361,0.200141528949393,0.0283027100824188,0.00125284393970952,0.014126332931376,0.0280526136549737
"15",0.005,"0.6","WA",13679.1966853123,7.26234234293586,0.212212088873805,0.0132869569396386,0.176905406112184,0.353554290747684,1518.38727629207,0.0417707866933028,0.00407668517409124,0.000151468372630047,0.00157541136486939,0.00307828706556083
"16",0.005,"0.8","IN",2026.07034847622,3.07865439238798,0.0169593196085676,0.00208813917723952,0.0389948410868694,0.0779726416192618,551.26218093481,0.400920443704537,0.00797730282317493,0.000197674011348637,0.00310096211962546,0.00619923391859766
"17",0.005,"0.8","TN",4448.98861003825,4.85665238520475,0.0862608279458339,0.00443699538638985,0.0731690710411125,0.146266541062035,903.883329770454,0.229650687437021,0.0183028073772478,0.000446784007965702,0.00611204277265238,0.0121821841516759
"18",0.005,"0.8","WA",13956.1739634219,7.24614943350444,0.212576471532152,0.0132845540176855,0.176879708895547,0.353516152486265,1254.21848671065,0.0367838231388955,0.00450808970867554,0.000172093682406268,0.00179520419736925,0.00363595882803942
"19",0.001,"0.6","IN",1130.83333515386,1.97228215256759,0.00862866016084593,0.00242745535714286,0.0441696084826814,0.0883147511572106,472.496352956569,0.378032064006254,0.0151715084299858,0.000497158284673609,0.00752955598851709,0.015055384832854
"20",0.001,"0.6","TN",2926.39151121175,3.21145011924612,0.0847089220428979,0.0048030931122449,0.077871219395511,0.15555127890908,1044.16460310068,0.392627906050352,0.0401231960314007,0.00103776311386405,0.0137025016298349,0.0272798668397499
"21",0.001,"0.6","WA",5503.89063050665,5.64327632257235,0.127026901776381,0.0115114795918367,0.158088002857891,0.316069401156816,764.283423274537,0.100966731376226,0.00412358282185038,0.000195955789053598,0.00212403281175385,0.00426491074540031
"22",0.001,"0.8","IN",1141.18425726742,1.70267467062988,0.00722075527408731,0.00212452168367347,0.0394901633206422,0.0789526185912974,421.026170612399,0.313676401042209,0.015618045430713,0.000390779099462468,0.00622429697878246,0.0124378043843639
"23",0.001,"0.8","TN",2409.00950101868,3.13874626965294,0.0692958403999509,0.00447624362244898,0.0733795901742575,0.146683063286556,691.698073638084,0.578431179694333,0.0258889688060849,0.00109344726418741,0.0150367222254457,0.0300589542006126
"24",0.001,"0.8","WA",5467.78842970887,5.6590508311656,0.125729457365163,0.0114237882653061,0.15713796828602,0.314183670395025,649.840576720216,0.0713906949055175,0.00448432909593883,0.000210282379026417,0.00227818213516447,0.00466161284975094
